#B-V  V
       1.5960560       15.680007
       1.1405564       12.610597
       1.5770671       15.916787
       1.5442811       15.400067
       1.1949492       12.881097
       1.4616901       15.758541
       1.2477065       13.434767
       1.3755776       14.955449
       1.2664046       14.274464
      0.95807513       11.937998
       1.5446103       15.290540
       1.0184682       11.736767
       1.5284655       15.827460
       1.6131354       16.215833
       1.4707141       15.544566
       1.5650436       16.013898
      0.42423179       8.9889269
       1.4712548       14.871127
       1.3120031       13.635909
       1.3129246       13.759439
       1.5930060       16.123098
       1.5403814       15.871005
       1.3899236       14.305843
       1.1741668       13.446912
      0.67318477       9.7113031
       1.5452053       15.842112
      0.93249486       11.653682
       1.9209156       15.980139
       1.4745535       14.886880
       1.5573677       15.319792
       1.4125410       14.160323
       1.3800361       14.834994
       1.5167012       15.365249
       1.5915548       15.688915
       1.3593788       14.524682
      0.62762883       10.016482
       1.0170674       12.495409
       1.3321577       13.129328
       1.5123811       15.002526
       1.7193424       15.998429
       1.5305821       15.497004
       1.5418250       16.102555
      0.57433934       8.3207374
      0.82915914       11.097357
      0.99250333       12.833087
       1.2499507       14.199721
       1.5189328       15.770183
       1.4226809       14.318569
       1.4867527       16.278420
      0.72748762       10.472903
       1.3818723       15.447578
      0.63887934       9.8514634
       1.0283287       11.986153
       1.3532532       13.609090
      0.96933110       12.039051
       1.4385068       15.536411
       1.2565555       13.124609
      0.75185213       10.309667
      0.83420789       11.077616
       1.1612148       13.211867
      0.81690970       11.210961
       1.4694960       14.731963
       1.3741792       15.917793
       1.5593901       15.531401
      0.76654822       10.623468
       1.0672936       12.455503
       1.2290043       13.577790
       1.4299924       14.761276
       1.5334820       16.041533
      0.99218905       12.290436
       1.3399872       14.331797
       1.6172840       15.497861
       1.5317049       14.932830
       1.0854450       11.878155
       1.6099069       15.866084
       1.6247074       15.630357
       1.3299119       13.999512
      0.89286000       12.089589
       1.4765694       15.445511
       1.5593316       15.508857
       1.4119266       16.212376
       1.5950139       15.722874
       1.0100466       12.471795
       1.0130680       12.212618
       1.7099474       16.004713
      0.83563695       11.644466
       1.3068831       13.465238
       1.4586708       14.761564
      0.74388106       10.222792
      0.80304577       10.597214
      0.64373036       8.6671768
       1.2406168       7.8557718
       1.5950692       15.338330
       1.0523402       12.523489
       1.6436789       16.027864
       1.4691891       15.768936
       1.2637198       8.0258894
      0.76205727       11.299239
       1.0302796       12.553001
       1.6120120       16.146748
       1.5816400       15.610196
      0.88665681       11.867409
       1.4116845       16.263498
       1.4879769       15.928653
      0.67608540       8.4326742
       1.2716755       15.089606
       1.4129979       14.131823
      0.56703279       9.3660989
       1.2557257       16.227373
       1.2595405       8.0066090
       1.4859278       16.015798
       1.3720024       14.633597
      0.69852305       10.055015
      0.59539053       8.4366197
       1.0245680       12.600603
      0.97486787       11.757884
      0.71535867       11.040394
      0.65801212       10.013686
       1.4736871       14.446235
       1.3899708       14.796434
      0.94211603       11.940768
       1.1635641       13.055147
       1.2714552       13.707777
       1.2116400       12.941053
       1.1077951       12.088251
       1.0158791       12.418190
       1.2791346       13.611245
       1.5995794       15.589927
       1.3847722       13.813300
       1.1531843       12.858256
      0.68301076       8.8136798
       1.4153030       16.361942
      0.70166964       8.2645005
      0.60071258       10.420976
      0.60708534       8.5070497
       1.2268284       13.164100
       1.4677260       15.112505
       1.4353318       15.351081
       1.5745836       15.881029
       1.5523702       16.045757
       1.4446510       14.082765
      0.75708382       10.374846
