Full, log(Age), M,log(Teff),Mbol, Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
152,10.280,0.8907,3.664,2.69,3.16,0.88,1.09,0.61,1.13,1.88
153,10.280,0.8911,3.662,2.52,2.99,0.90,1.10,0.61,1.14,1.90
154,10.280,0.8914,3.660,2.37,2.85,0.92,1.11,0.62,1.15,1.91
155,10.280,0.8917,3.658,2.19,2.69,0.94,1.13,0.62,1.16,1.94
156,10.280,0.8920,3.655,2.02,2.54,0.98,1.14,0.63,1.18,1.96
157,10.280,0.8923,3.652,1.83,2.37,1.01,1.16,0.64,1.19,1.99
158,10.280,0.8925,3.650,1.72,2.28,1.03,1.17,0.64,1.20,2.01
159,10.280,0.8927,3.652,1.77,2.31,1.01,1.16,0.64,1.19,1.99
160,10.280,0.8929,3.649,1.62,2.18,1.05,1.18,0.65,1.21,2.02
161,10.280,0.8931,3.646,1.44,2.03,1.09,1.20,0.66,1.23,2.05
162,10.280,0.8933,3.643,1.25,1.86,1.13,1.22,0.67,1.25,2.08
163,10.280,0.8935,3.640,1.08,1.71,1.17,1.23,0.68,1.26,2.11
164,10.280,0.8936,3.636,0.92,1.58,1.21,1.25,0.69,1.28,2.15
165,10.280,0.8937,3.632,0.77,1.46,1.25,1.27,0.70,1.31,2.19
166,10.280,0.8938,3.629,0.62,1.33,1.30,1.29,0.71,1.33,2.22
167,10.280,0.8939,3.625,0.45,1.21,1.35,1.32,0.72,1.35,2.27
168,10.280,0.8940,3.621,0.26,1.05,1.40,1.34,0.74,1.38,2.32
169,10.280,0.8940,3.617,0.09,0.93,1.46,1.37,0.75,1.41,2.36
170,10.280,0.8941,3.612,-0.09,0.79,1.52,1.40,0.76,1.44,2.42
171,10.280,0.8941,3.607,-0.32,0.62,1.60,1.43,0.78,1.47,2.48
172,10.280,0.8942,3.602,-0.48,0.51,1.66,1.47,0.80,1.50,2.54
173,10.280,0.8942,3.596,-0.67,0.37,1.71,1.49,0.82,1.56,2.61
174,10.280,0.8943,3.590,-0.87,0.23,1.75,1.52,0.84,1.63,2.69
175,10.280,0.8943,3.579,-1.14,0.07,1.79,1.55,0.87,1.74,2.82
176,10.280,0.8943,3.573,-1.30,-0.02,1.81,1.56,0.89,1.81,2.90
177,10.280,0.8943,3.568,-1.45,-0.05,1.81,1.57,0.93,1.93,3.04
178,10.280,0.8944,3.558,-1.67,-0.04,1.81,1.58,0.99,2.12,3.27
179,10.280,0.8944,3.549,-1.89,-0.04,1.80,1.59,1.05,2.30,3.49
180,10.280,0.8944,3.537,-2.16,0.06,1.73,1.59,1.13,2.55,3.89
181,10.280,0.8944,3.522,-2.47,0.35,1.56,1.60,1.26,2.91,4.55
182,10.280,0.8944,3.499,-2.89,0.62,1.43,1.61,1.38,3.35,5.32
183,10.280,0.8945,3.467,-3.41,0.83,1.37,1.62,1.45,3.85,6.14
184,10.280,0.8945,3.448,-3.72,0.96,1.33,1.62,1.49,4.15,6.63
185,10.280,0.6700,3.668,0.74,1.17,0.95,1.12,0.58,1.10,1.84
186,10.280,0.6701,3.664,0.66,1.11,0.99,1.14,0.59,1.12,1.88
187,10.280,0.6714,3.680,0.72,1.08,0.85,1.07,0.55,1.05,1.73
188,10.280,0.6719,3.674,0.57,0.96,0.91,1.10,0.57,1.08,1.79
189,10.280,0.6721,3.666,0.39,0.83,0.99,1.14,0.59,1.11,1.86
190,10.280,0.6722,3.658,0.21,0.70,1.08,1.18,0.61,1.15,1.94
191,10.280,0.6723,3.649,0.02,0.57,1.17,1.22,0.63,1.19,2.02
192,10.280,0.6723,3.640,-0.18,0.44,1.28,1.27,0.66,1.25,2.11
193,10.280,0.6723,3.608,-0.87,0.05,1.66,1.46,0.78,1.46,2.47
194,10.280,0.6723,3.600,-1.08,-0.08,1.73,1.50,0.81,1.52,2.56
195,10.280,0.6723,3.612,-0.79,0.09,1.61,1.43,0.76,1.43,2.42
196,10.280,0.6723,3.618,-0.69,0.13,1.55,1.40,0.74,1.39,2.35
197,10.280,0.6724,3.609,-0.88,0.03,1.65,1.45,0.77,1.45,2.46
198,10.280,0.6725,3.601,-1.08,-0.09,1.72,1.50,0.80,1.51,2.55
199,10.280,0.6725,3.593,-1.27,-0.19,1.76,1.52,0.83,1.60,2.65
200,10.280,0.6725,3.581,-1.53,-0.34,1.80,1.55,0.87,1.73,2.80
201,10.280,0.6725,3.574,-1.73,-0.46,1.82,1.56,0.89,1.81,2.89
202,10.280,0.6725,3.558,-1.99,-0.37,1.81,1.58,0.99,2.11,3.26
203,10.280,0.6725,3.544,-2.28,-0.31,1.79,1.59,1.08,2.41,3.63
204,10.280,0.6725,3.529,-2.52,0.04,1.63,1.60,1.21,2.75,4.26
205,10.280,0.6725,3.514,-2.76,0.40,1.47,1.61,1.34,3.11,4.92
206,10.280,0.6725,3.500,-3.01,0.50,1.43,1.61,1.38,3.34,5.31
207,10.280,0.6725,3.487,-3.24,0.56,1.40,1.61,1.41,3.54,5.64
208,10.280,0.6726,3.473,-3.47,0.65,1.38,1.62,1.44,3.77,6.01
209,10.280,0.6726,3.468,-3.57,0.67,1.37,1.62,1.45,3.85,6.13
210,10.280,0.6726,3.457,-3.74,0.74,1.35,1.62,1.47,4.01,6.41
211,10.280,0.5492,3.700,-3.32,-3.07,0.88,1.05,0.52,0.98,1.58
212,10.280,0.5492,4.090,-3.32,-2.60,-0.50,-0.12,-0.03,-0.07,-0.22
213,10.280,0.5492,4.266,-3.32,-1.62,-0.81,-0.20,-0.08,-0.19,-0.46
214,10.280,0.5492,4.416,-3.31,-0.78,-1.00,-0.25,-0.11,-0.27,-0.63
215,10.280,0.5492,4.538,-3.29,-0.09,-1.10,-0.29,-0.13,-0.31,-0.72
216,10.280,0.5492,4.652,-3.26,0.74,-1.15,-0.32,-0.14,-0.34,-0.76
217,10.280,0.5492,4.730,-3.17,1.37,-1.16,-0.32,-0.14,-0.34,-0.78
218,10.280,0.5492,4.807,-3.07,2.01,-1.17,-0.34,-0.15,-0.36,-0.80
219,10.280,0.5492,4.879,-2.94,2.64,-1.18,-0.35,-0.16,-0.37,-0.82
220,10.280,0.5492,4.943,-2.75,3.28,-1.19,-0.36,-0.16,-0.38,-0.84
221,10.280,0.5492,5.003,-2.52,3.92,-1.20,-0.37,-0.17,-0.39,-0.86
222,10.280,0.5492,5.006,-2.36,4.11,-1.20,-0.37,-0.17,-0.39,-0.86
223,10.280,0.5492,5.009,-2.20,4.29,-1.20,-0.37,-0.17,-0.39,-0.86
224,10.280,0.5492,5.012,-2.03,4.47,-1.20,-0.37,-0.17,-0.39,-0.86
225,10.280,0.5492,5.012,-1.88,4.63,-1.20,-0.37,-0.17,-0.39,-0.86
226,10.280,0.5492,5.010,-1.72,4.78,-1.20,-0.37,-0.17,-0.39,-0.86
227,10.280,0.5492,5.009,-1.57,4.92,-1.20,-0.37,-0.17,-0.39,-0.86
228,10.280,0.5492,5.008,-1.41,5.07,-1.20,-0.37,-0.17,-0.39,-0.86
229,10.280,0.5492,5.006,-1.26,5.22,-1.20,-0.37,-0.17,-0.39,-0.86
230,10.280,0.5492,5.005,-1.10,5.36,-1.20,-0.37,-0.17,-0.39,-0.86
231,10.280,0.5492,4.997,-0.95,5.46,-1.20,-0.37,-0.17,-0.39,-0.86
232,10.280,0.5492,4.988,-0.80,5.55,-1.20,-0.37,-0.17,-0.39,-0.86
233,10.280,0.5492,4.979,-0.64,5.64,-1.20,-0.37,-0.17,-0.39,-0.85
234,10.280,0.5492,4.973,-0.55,5.70,-1.20,-0.37,-0.17,-0.39,-0.85
235,10.280,0.5492,4.965,-0.32,5.87,-1.20,-0.36,-0.17,-0.38,-0.85
236,10.280,0.5492,4.957,-0.09,6.05,-1.19,-0.36,-0.17,-0.38,-0.85
237,10.280,0.5492,4.949,0.14,6.22,-1.19,-0.36,-0.17,-0.38,-0.85
238,10.280,0.5492,4.941,0.32,6.33,-1.19,-0.36,-0.16,-0.38,-0.84
239,10.280,0.5492,4.925,0.60,6.50,-1.19,-0.36,-0.16,-0.38,-0.84
240,10.280,0.5492,4.911,0.82,6.64,-1.19,-0.35,-0.16,-0.38,-0.83
241,10.280,0.5492,4.900,1.02,6.75,-1.19,-0.35,-0.16,-0.37,-0.83
242,10.260,0.6000,3.598,7.59,8.61,1.08,1.35,0.85,1.61,2.58
243,10.260,0.6200,3.609,7.41,8.35,1.04,1.31,0.82,1.53,2.49
244,10.260,0.6400,3.619,7.23,8.08,1.02,1.26,0.79,1.46,2.37
245,10.260,0.6600,3.630,7.05,7.81,0.98,1.22,0.76,1.39,2.26
246,10.260,0.6800,3.642,6.86,7.53,0.92,1.17,0.72,1.32,2.14
247,10.260,0.7000,3.653,6.66,7.24,0.86,1.11,0.68,1.24,2.02
248,10.260,0.7200,3.665,6.47,6.97,0.79,1.06,0.64,1.17,1.91
249,10.260,0.7400,3.677,6.27,6.68,0.71,1.01,0.59,1.10,1.79
250,10.260,0.7550,3.686,6.11,6.47,0.65,0.97,0.56,1.05,1.71
251,10.260,0.7700,3.696,5.95,6.25,0.59,0.93,0.53,1.00,1.62
252,10.260,0.7850,3.705,5.77,6.03,0.53,0.90,0.51,0.95,1.54
253,10.260,0.8000,3.714,5.59,5.80,0.47,0.86,0.48,0.91,1.47
254,10.260,0.8150,3.722,5.42,5.60,0.42,0.83,0.47,0.87,1.41
255,10.260,0.8300,3.728,5.24,5.40,0.38,0.81,0.45,0.85,1.37
256,10.260,0.8450,3.733,5.04,5.19,0.34,0.79,0.44,0.83,1.33
257,10.260,0.8554,3.736,4.89,5.03,0.32,0.78,0.43,0.82,1.30
