  ID     REF  V        B-V
 0659   248  19.660   1.120
 0660   248  19.440   1.030
 0661   248  20.160   1.380
 0662   248  20.000   1.180
 0663   248  19.060   0.890
 0664   248  20.740   1.080
 0665   248  16.910   0.820
 0666   248  19.960   1.020
 0667   248  19.910   1.000
 0668   248  20.040   1.310
 0669   248  19.340   1.040
 0670   248  17.070   0.910
 0671   248  20.750   1.510
 0672   248  16.920   0.780
 0673   248  16.470   0.710
 0674   248  20.430   1.390
 0675   248  19.900   1.050
 0676   248  19.290   0.950
 0677   248  19.880   1.060
 0678   248  19.520   1.020
 0679   248  19.920   1.150
 0680   248  18.280   0.950
 0681   248  20.080   0.750
 0682   248  17.610   2.020
 0683   248  19.060   1.300
 0684   248  20.100   1.090
 0685   248  20.540   1.190
 0686   248  20.300   1.130
 0687   248  19.990   1.020
 0688   248  18.920   0.790
 0689   248  20.250   1.110
 0690   248  18.530   0.850
 0691   248  18.260   0.960
 0692   248  17.020   0.500
 0693   248  17.650   0.790
 0694   248  18.480   0.860
 0695   248  18.310   0.910
 0696   248  20.980   1.220
 0697   248  18.900   0.950
 0698   248  19.310   1.280
 0699   248  17.060   1.400
 0700   248  19.120   0.810
 0701   248  18.510   0.720
 0702   248  17.760   1.400
 0703   248  18.810   0.910
 0704   248  18.400   1.020
 0705   248  19.620   0.940
 0706   248  21.020   1.720
 0707   248  20.980   1.410
 0708   248  17.870   0.760
 0709   248  19.620   1.350
 0710   248  17.340   0.620
 0711   248  18.890   1.090
 0712   248  18.830   0.830
 0713   248  18.770   0.800
 0714   248  19.850   1.010
 0715   248  17.190   2.110
 0716   248  19.900   0.880
 0717   248  18.310   0.920
 0718   248  20.910   1.190
 0719   248  18.020   0.560
 0720   248  20.450   0.930
 0721   248  19.730   0.950
 0722   248  15.850   0.580
 0723   248  13.620   1.490
 0724   248  18.820   1.020
 0725   248  19.580   0.980
 0726   248  18.670   0.750
 0727   248  17.620   0.680
 0728   248  14.100   0.740
 0729   248  20.490   1.380
 0730   248  19.080   0.910
 0731   248  17.740   0.940
 0732   248  14.460   1.210
 0733   248  18.840   0.960
 0734   248  20.940   1.160
 0735   248  13.600   1.460
