source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels,prob,rradec
5516043471967098112,124.7033815411848,-47.80220422836954,-2.5586915676350177,0.33381617,2.445921293066031,0.33639842,1.3111153,19.899305,0.647324016558875,0.32242778,,,264.05444787967747,-6.625456837750751,1.0637332,360,39,38,0,1.0,0.02160468481715814
5516043471967100800,124.6993336971058,-47.801267506562,-2.151258313724032,0.1891687,4.223214717653853,0.18986647,1.7028694,19.067736,0.40814641491869613,0.17864771,,,264.05214365652904,-6.6271978946584245,0.9785987,367,39,40,0,1.0,0.02375367075675611
5516043471967106048,124.69447008338433,-47.7996352688742,-2.4886254606069875,0.12958449,2.9679240570538115,0.12702112,1.8967037,18.459547,0.255954098628425,0.11818457,,,264.04895083301204,-6.629008675357592,1.0583323,370,40,39,0,1.0,0.026692442372845473
5516043471967132928,124.6970932617823,-47.79257004695221,-2.597125531463159,0.10681676,2.6864939074948904,0.110022895,1.2936974,18.125029,0.2310142020455907,0.09455026,,,264.04402027638133,-6.623620174509191,0.99599886,372,42,39,0,1.0,0.021243779854164497
5516043471977402752,124.6935915851431,-47.80663162441904,-5.255293680885304,0.12436241,4.261593615024996,0.12203213,1.6140652,18.41411,0.4655118869012586,0.10997427,,,264.0544791111239,-6.633383930999103,1.0209233,402,39,38,0,1.0,0.03160914386921148
5516043506326894336,124.71551995121494,-47.785819539784235,-3.487853008104701,0.07138567,3.951775842139183,0.07165265,1.3446827,17.43441,0.4779787948504658,0.06594649,,,264.0452903956573,-6.609575747089423,1.0326918,379,40,41,0,1.0,0.0016458644001964972
5516043506326911872,124.71784662956404,-47.78218477134953,-3.3609398571433244,0.14783993,5.6680255402602935,0.16604985,1.489111,18.685028,0.6097889246875285,0.13726714,,,264.0431219564168,-6.606256745706805,1.0328404,364,38,38,0,1.0,0.0034377170849915688
5516043510619283840,124.71363450333547,-47.77567942964373,-2.3242352686121097,0.09130683,3.813690865573407,0.09127446,1.3640308,17.90416,0.23368884069211715,0.08315454,,,264.03609360050734,-6.604996903531687,0.9730514,377,42,39,0,1.0,0.010475603386437606
5516043510619285248,124.70428493252726,-47.78913440131413,-4.310919915225166,0.020213574,3.9548086387796464,0.018124674,1.7212563,14.232972,0.29616479941051804,0.016086968,-3.6546226,2.2745965,264.0438448704919,-6.6176941231281985,1.1319716,364,40,41,0,1.0,0.013348918489982028
5516043510619291392,124.70821162186593,-47.78721496947262,-2.549940793318242,0.23111533,3.408547838626383,0.24387287,1.2875843,19.314081,0.5716578591618844,0.22283907,,,264.0437129492245,-6.614434161747297,0.9736624,352,40,39,0,1.0,0.00908583092514032
5516043510619306240,124.71260953165418,-47.79563597890562,-3.2912536250191757,0.24502762,5.96157075446974,0.25344202,1.3913765,19.346302,0.536643130104899,0.22357889,,,264.0524146789934,-6.6166541347335,1.0040343,361,42,43,0,1.0,0.011058387077406246
5516043544990605184,124.72775117041657,-47.78526611325862,-3.2092263478389764,0.06369762,4.217515390299999,0.064155065,1.4046917,17.281713,0.2075400238622736,0.059081215,,,264.04942306254117,-6.602434810637576,0.9477016,365,39,39,0,1.0,0.010611397966124782
5516043544990607104,124.73449275521206,-47.782518540265755,-3.7929342597356293,0.10283289,4.023602456109902,0.10338622,1.4368896,18.022022,0.26908280718547306,0.09319042,,,264.0496570568787,-6.597141909200457,1.0749677,381,41,41,0,1.0,0.017612014909299326
5516043544990607744,124.73933460264354,-47.77787326264348,-5.575064518019335,0.032532085,4.981358711090512,0.032652024,1.4742765,15.93601,0.4337155977921064,0.029242132,,,264.0475892907744,-6.591855577400193,1.0064093,366,39,40,0,1.0,0.02348130645951807
5516043544990610688,124.74289744359213,-47.78678473468674,-4.295243091135524,0.06014378,5.442182007464586,0.059148654,1.5190334,17.0848,0.4082874300869479,0.054337814,,,264.0563866140892,-6.594817544375658,1.0365602,370,40,40,0,1.0,0.025783467805906818
5516043544990611712,124.74398634632801,-47.78874908826768,-2.3004716649757375,0.13065384,5.134830722289607,0.13715412,1.692194,18.50697,0.3845913106425864,0.119808376,,,264.0584398649728,-6.595300980445211,1.0030189,369,38,35,0,1.0,0.027032760351586915
5516043575046413312,124.7610265013881,-47.77477555795905,-1.0827116202144573,0.08173028,3.1236971244818967,0.08171002,1.5914745,17.641706,0.42539292917315097,0.07475418,,,264.0531533883462,-6.578015482825466,0.9803957,341,34,36,0,1.0,0.04518624681675977
5516043609406159360,124.73448469207892,-47.77109190422923,-2.3181539189672415,0.2653588,2.8901748917105543,0.26446503,1.3963947,19.53978,0.6267471594102415,0.24556921,,,264.04009056785503,-6.59079705861737,0.96841633,350,38,37,0,1.0,0.022577559447367942
5516043613710076800,124.72908597332899,-47.76331277527756,-2.4414886339757182,0.05695306,2.8878403933874637,0.054738175,1.9268379,16.764044,0.13301821694212607,0.051043525,,,264.0315501426708,-6.589491574751962,1.0395197,320,33,33,0,1.0,0.025240989857153447
5516043613710080512,124.7248168005729,-47.7852453380616,-2.2732579932800814,0.08691026,2.5490446122399253,0.08708755,1.355217,17.71253,0.5740115776700708,0.08079115,,,264.04830298057686,-6.604062627086263,1.075365,378,41,41,0,1.0,0.007679273643005131
5516043643765900672,124.74040231912686,-47.771965700428474,-2.3188471221951232,0.1203301,4.115629688770969,0.12345985,1.7190666,18.299816,0.37530038566186386,0.10518637,,,264.0430466681268,-6.587976076133843,0.9817658,364,38,36,0,1.0,0.02693507190641457
5516043643765900928,124.7366423788266,-47.77011863295227,-3.2711704446765313,0.09798198,2.2704612604248418,0.09987725,1.4970474,17.968958,0.22960446323403327,0.08804025,,,264.04008721369405,-6.589050554946298,1.0038617,346,41,40,0,1.0,0.024866150848692075
5516043648058264704,124.74037755698627,-47.76397247795676,-3.747103780439115,0.1842101,5.6337934135986245,0.16068135,1.6569996,18.785831,0.4914301305790021,0.15407236,,,264.0363479733021,-6.583547801407943,1.0067822,327,23,21,0,1.0,0.03170804846557214
5516043678126608128,124.78344616927228,-47.781955087097344,-3.633836205023671,0.21179478,4.2770562542745,0.21785077,1.7669048,19.14426,0.4460819631344435,0.21073206,,,264.0675929662823,-6.569485423282949,0.9570491,296,38,35,0,1.0,0.06639998017777696
5516043712486351104,124.7924513464362,-47.77618340351378,-1.7998572689256664,0.2044396,2.652387596761848,0.20375787,0.932354,18.985256,0.47597324699203486,0.18968104,,,264.0661527661099,-6.561246205705059,1.0437026,317,39,38,0,1.0,0.07588802077985136
5516043751149049856,124.7826753839021,-47.76692194577889,-2.3743986841089173,0.1412884,2.7411331048567895,0.14525913,1.6124439,18.457272,0.2643223075244753,0.128125,,,264.05472679627934,-6.561555133152903,0.97001487,326,35,36,0,1.0,0.06812794677254329
