Full,log(Age),M,log(Teff),Mbol,Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
764,10.18,0.88,3.741,4.89,5.01,0.28,0.76,0.42,0.8,1.27
765,10.18,0.8887,3.743,4.78,4.89,0.27,0.75,0.41,0.79,1.26
766,10.18,0.8992,3.744,4.62,4.74,0.27,0.74,0.41,0.79,1.25
767,10.18,0.9099,3.744,4.47,4.59,0.27,0.75,0.41,0.79,1.25
768,10.18,0.9195,3.74,4.32,4.44,0.29,0.76,0.42,0.8,1.27
769,10.18,0.9296,3.725,4.16,4.34,0.4,0.83,0.45,0.86,1.38
770,10.18,0.935,3.7,4.09,4.36,0.58,0.93,0.51,0.96,1.57
771,10.18,0.9379,3.684,3.93,4.28,0.69,0.99,0.55,1.04,1.71
772,10.18,0.9383,3.683,3.89,4.26,0.71,1.0,0.56,1.05,1.72
773,10.18,0.9398,3.679,3.72,4.1,0.74,1.02,0.57,1.07,1.76
774,10.18,0.941,3.676,3.55,3.95,0.76,1.03,0.57,1.08,1.78
775,10.18,0.942,3.674,3.39,3.8,0.78,1.04,0.58,1.08,1.79
776,10.18,0.943,3.673,3.21,3.62,0.8,1.05,0.58,1.09,1.81
777,10.18,0.9438,3.671,3.04,3.47,0.81,1.06,0.59,1.1,1.82
778,10.18,0.9446,3.669,2.85,3.29,0.84,1.07,0.59,1.11,1.84
779,10.18,0.9452,3.667,2.69,3.14,0.85,1.08,0.6,1.12,1.85
780,10.18,0.9457,3.665,2.54,2.99,0.87,1.09,0.6,1.13,1.87
781,10.18,0.9462,3.663,2.36,2.83,0.89,1.1,0.61,1.14,1.89
782,10.18,0.9466,3.661,2.19,2.67,0.92,1.11,0.61,1.15,1.91
783,10.18,0.947,3.658,2.01,2.51,0.95,1.13,0.62,1.16,1.93
784,10.18,0.9474,3.655,1.81,2.33,0.98,1.14,0.63,1.18,1.96
785,10.18,0.9478,3.652,1.63,2.17,1.02,1.16,0.64,1.19,1.99
786,10.18,0.9478,3.652,1.61,2.15,1.02,1.16,0.64,1.19,1.99
787,10.18,0.9481,3.653,1.66,2.19,1.01,1.16,0.63,1.18,1.98
788,10.18,0.9483,3.65,1.5,2.06,1.04,1.17,0.64,1.2,2.01
789,10.18,0.9486,3.647,1.34,1.92,1.08,1.19,0.65,1.22,2.04
790,10.18,0.9488,3.644,1.17,1.77,1.11,1.21,0.66,1.24,2.07
791,10.18,0.949,3.641,1.01,1.63,1.15,1.23,0.67,1.25,2.1
792,10.18,0.9492,3.638,0.84,1.49,1.2,1.25,0.68,1.28,2.13
793,10.18,0.9493,3.634,0.69,1.36,1.24,1.27,0.69,1.3,2.17
794,10.18,0.9495,3.63,0.51,1.22,1.29,1.29,0.71,1.32,2.21
795,10.18,0.9496,3.626,0.35,1.09,1.34,1.31,0.72,1.35,2.26
796,10.18,0.9497,3.622,0.16,0.94,1.4,1.34,0.73,1.37,2.31
797,10.18,0.9497,3.618,-0.01,0.82,1.45,1.37,0.75,1.4,2.35
798,10.18,0.9498,3.612,-0.2,0.68,1.52,1.4,0.76,1.43,2.41
799,10.18,0.9499,3.608,-0.37,0.55,1.58,1.43,0.78,1.46,2.46
800,10.18,0.9499,3.603,-0.55,0.42,1.65,1.46,0.8,1.5,2.53
801,10.18,0.95,3.597,-0.77,0.26,1.71,1.49,0.82,1.56,2.61
802,10.18,0.95,3.592,-0.93,0.15,1.74,1.51,0.83,1.61,2.67
803,10.18,0.9501,3.585,-1.13,0.03,1.77,1.53,0.86,1.68,2.75
804,10.18,0.9501,3.575,-1.36,-0.11,1.81,1.56,0.89,1.79,2.87
805,10.18,0.9502,3.566,-1.6,-0.15,1.81,1.57,0.94,1.96,3.08
806,10.18,0.9502,3.558,-1.77,-0.14,1.81,1.58,0.99,2.12,3.26
807,10.18,0.9502,3.551,-1.94,-0.14,1.8,1.58,1.04,2.26,3.44
808,10.18,0.9502,3.544,-2.14,-0.16,1.79,1.59,1.08,2.41,3.63
809,10.18,0.9502,3.533,-2.35,0.06,1.68,1.6,1.18,2.67,4.1
810,10.18,0.9503,3.521,-2.62,0.27,1.54,1.61,1.28,2.95,4.62
811,10.18,0.9503,3.505,-2.92,0.48,1.44,1.61,1.37,3.27,5.19
812,10.18,0.9503,3.482,-3.28,0.64,1.39,1.62,1.42,3.63,5.78
813,10.18,0.9503,3.454,-3.72,0.82,1.34,1.62,1.48,4.05,6.47
814,10.18,0.7505,3.66,0.68,1.16,1.02,1.15,0.61,1.14,1.91
815,10.18,0.7506,3.657,0.59,1.09,1.05,1.17,0.61,1.16,1.94
816,10.18,0.7523,3.667,0.63,1.07,0.96,1.13,0.59,1.11,1.85
817,10.18,0.753,3.662,0.47,0.94,1.01,1.15,0.6,1.13,1.9
818,10.18,0.7532,3.655,0.31,0.82,1.09,1.19,0.62,1.16,1.96
819,10.18,0.7533,3.649,0.15,0.7,1.15,1.22,0.63,1.19,2.02
820,10.18,0.7534,3.643,-0.02,0.58,1.23,1.25,0.66,1.24,2.08
821,10.18,0.7535,3.628,-0.39,0.33,1.41,1.33,0.7,1.32,2.23
822,10.18,0.7535,3.6,-1.07,-0.06,1.73,1.5,0.81,1.53,2.57
823,10.18,0.7535,3.598,-1.13,-0.1,1.73,1.5,0.81,1.55,2.59
824,10.18,0.7535,3.606,-0.88,0.06,1.67,1.46,0.78,1.47,2.49
825,10.18,0.7535,3.613,-0.74,0.12,1.59,1.42,0.76,1.42,2.4
826,10.18,0.7536,3.606,-0.9,0.05,1.68,1.47,0.79,1.48,2.5
827,10.18,0.7537,3.599,-1.08,-0.07,1.73,1.5,0.81,1.53,2.58
828,10.18,0.7537,3.591,-1.3,-0.2,1.76,1.52,0.83,1.62,2.68
829,10.18,0.7537,3.583,-1.49,-0.32,1.79,1.54,0.86,1.71,2.78
830,10.18,0.7537,3.571,-1.78,-0.44,1.82,1.56,0.91,1.87,2.96
