# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Mon May 30 16:37:44 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.017268 0.07400 8.90000 1.0932688713 2.4905405045    1.092  0.073  3.7780  4.467    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.19e-14      0.00 7.121e-01 2.711e-01 2.985e-03 8.153e-04 7.408e-03 -1.000 1.683e-02 4.587 4.457 4.754 3.996
0.017268 0.07400 8.90000 1.1062338352 2.4927215576    1.105  0.099  3.7808  4.458    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -7.5e-14      0.00 7.128e-01 2.704e-01 2.978e-03 8.135e-04 7.392e-03 -1.000 1.679e-02 4.522 4.392 4.682 3.938
0.017268 0.07400 8.90000 1.1423072815 2.4984912872    1.141  0.170  3.7885  4.432    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.41e-14      0.00 7.151e-01 2.683e-01 2.957e-03 8.079e-04 7.341e-03 -1.000 1.669e-02 4.346 4.215 4.488 3.779
0.017268 0.07400 8.90000 1.1913455725 2.5056939125    1.191  0.263  3.7983  4.396    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.69e-14      0.00 7.167e-01 2.667e-01 2.947e-03 8.053e-04 7.319e-03 -1.000 1.666e-02 4.113 3.982 4.234 3.570
0.017268 0.07400 8.90000 1.1977299452 2.5065817833    1.197  0.275  3.7996  4.392    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.85e-14      0.00 7.167e-01 2.666e-01 2.948e-03 8.054e-04 7.320e-03 -1.000 1.666e-02 4.083 3.952 4.202 3.544
0.017268 0.07400 8.90000 1.2403841019 2.5122456551    1.240  0.353  3.8077  4.361    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-13      0.00 7.168e-01 2.666e-01 2.951e-03 8.066e-04 7.331e-03 -1.000 1.664e-02 3.888 3.759 3.992 3.370
0.017268 0.07400 8.90000 1.2894222736 2.5182275772    1.289  0.438  3.8164  4.328    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-13      0.00 7.170e-01 2.663e-01 2.949e-03 8.062e-04 7.328e-03 -1.000 1.669e-02 3.676 3.549 3.765 3.181
0.017268 0.07400 8.90000 1.3013266325 2.5196015835    1.301  0.457  3.8185  4.321    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-13      0.00 7.171e-01 2.662e-01 2.949e-03 8.061e-04 7.327e-03 -1.000 1.668e-02 3.627 3.499 3.712 3.136
0.017268 0.07400 8.90000 1.3384609222 2.5237081051    1.338  0.518  3.8249  4.298    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 7.172e-01 2.662e-01 2.949e-03 8.061e-04 7.328e-03 -1.000 1.665e-02 3.475 3.348 3.550 3.000
0.017268 0.07400 8.90000 1.3874992132 2.5287456512    1.387  0.594  3.8333  4.271    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-13      0.00 7.168e-01 2.665e-01 2.952e-03 8.068e-04 7.333e-03 -1.000 1.665e-02 3.284 3.159 3.346 2.830
0.017268 0.07400 8.90000 1.4365376234 2.5333898067    1.436  0.667  3.8420  4.248    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-13      0.00 7.169e-01 2.664e-01 2.950e-03 8.063e-04 7.329e-03 -1.000 1.665e-02 3.102 2.978 3.152 2.671
0.017268 0.07400 8.90000 1.4388769865 2.5336022377    1.439  0.671  3.8425  4.247    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-13      0.00 7.169e-01 2.664e-01 2.950e-03 8.063e-04 7.329e-03 -1.000 1.665e-02 3.093 2.970 3.143 2.663
0.017268 0.07400 8.90000 1.4855761528 2.5376830101    1.485  0.738  3.8516  4.230    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-13      0.00 7.172e-01 2.662e-01 2.948e-03 8.057e-04 7.323e-03 -1.000 1.666e-02 2.926 2.805 2.964 2.521
0.017268 0.07400 8.90000 1.5189435482 2.5404226780    1.519  0.784  3.8586  4.221    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.173e-01 2.660e-01 2.946e-03 8.054e-04 7.320e-03 -1.000 1.666e-02 2.809 2.692 2.840 2.424
0.017268 0.07400 8.90000 1.5346145630 2.5416622162    1.534  0.806  3.8617  4.217    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-13      0.00 7.174e-01 2.659e-01 2.946e-03 8.052e-04 7.319e-03 -1.000 1.666e-02 2.756 2.639 2.783 2.379
0.017268 0.07400 8.90000 1.5649627447 2.5439817905    1.565  0.846  3.8678  4.209    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.176e-01 2.658e-01 2.945e-03 8.049e-04 7.316e-03 -1.000 1.666e-02 2.654 2.541 2.675 2.296
0.017268 0.07400 8.90000 1.5836528540 2.5453593731    1.583  0.871  3.8713  4.204    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.56e-14      0.00 7.176e-01 2.657e-01 2.944e-03 8.047e-04 7.314e-03 -1.000 1.666e-02 2.592 2.481 2.610 2.245
0.017268 0.07400 8.90000 1.6326912642 2.5488023758    1.632  0.934  3.8798  4.188    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.16e-14      0.00 7.178e-01 2.656e-01 2.943e-03 8.044e-04 7.311e-03 -1.000 1.664e-02 2.436 2.329 2.445 2.114
0.017268 0.07400 8.90000 1.6456940174 2.5496759415    1.645  0.950  3.8819  4.184    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.56e-15      0.00 7.178e-01 2.655e-01 2.943e-03 8.043e-04 7.310e-03 -1.000 1.665e-02 2.395 2.289 2.403 2.080
0.017268 0.07400 8.90000 1.6572104692 2.5504362583    1.657  0.965  3.8837  4.179    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-15      0.00 7.178e-01 2.655e-01 2.943e-03 8.043e-04 7.310e-03 -1.000 1.665e-02 2.359 2.255 2.365 2.050
0.017268 0.07400 8.90000 1.6817296743 2.5520155430    1.681  0.995  3.8874  4.170    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-24      0.00 7.179e-01 2.655e-01 2.942e-03 8.041e-04 7.309e-03 -1.000 1.663e-02 2.283 2.182 2.287 1.987
0.017268 0.07400 8.90000 1.6976727247 2.5530142784    1.697  1.014  3.8896  4.164    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-28      0.00 7.179e-01 2.655e-01 2.942e-03 8.040e-04 7.309e-03 -1.000 1.661e-02 2.234 2.134 2.236 1.945
0.017268 0.07400 8.90000 1.7062489986 2.5535426140    1.705  1.025  3.8908  4.160    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.179e-01 2.655e-01 2.942e-03 8.040e-04 7.308e-03 -1.000 1.661e-02 2.208 2.109 2.209 1.923
0.017268 0.07400 8.90000 1.7307680845 2.5550200939    1.730  1.054  3.8940  4.150    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.180e-01 2.655e-01 2.942e-03 8.040e-04 7.308e-03 -1.000 1.660e-02 2.134 2.038 2.133 1.861
