Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,p0,p1,p2,p3,p4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.017268,0.074,8.9,1.7956906557,2.5587089062,1.794,1.132,3.9014,4.117,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.718,0.2654,0.002942,8.04E-4,0.007308,-1.0,0.01661,1.939,1.85,1.934,1.692
0.017268,0.074,8.9,1.8043256998,2.5591766834,1.803,1.143,3.9022,4.112,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.718,0.2654,0.002942,8.041E-4,0.007309,-1.0,0.0166,1.913,1.824,1.907,1.67
0.017268,0.074,8.9,1.8052845001,2.5592281818,1.804,1.144,3.9023,4.112,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.718,0.2654,0.002942,8.041E-4,0.007309,-1.0,0.0166,1.911,1.822,1.905,1.667
0.017268,0.074,8.9,1.8288450241,2.5604770184,1.828,1.172,3.9045,4.098,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7179,0.2655,0.002942,8.044E-4,0.007308,-1.0,0.01664,1.841,1.755,1.834,1.606
0.017268,0.074,8.9,1.8385816813,2.5609824657,1.837,1.183,3.9054,4.093,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7179,0.2655,0.002942,8.045E-4,0.007308,-1.0,0.01665,1.812,1.726,1.805,1.58
0.017268,0.074,8.9,1.85336411,2.5617380142,1.852,1.201,3.9066,4.083,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7179,0.2655,0.002942,8.046E-4,0.007308,-1.0,0.01665,1.768,1.683,1.76,1.541
0.017268,0.074,8.9,1.8778833151,2.5629611015,1.877,1.23,3.9086,4.068,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7178,0.2655,0.002942,8.046E-4,0.007309,-1.0,0.01665,1.696,1.613,1.687,1.477
0.017268,0.074,8.9,1.8787745237,2.5630047321,1.878,1.231,3.9087,4.068,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7178,0.2655,0.002942,8.046E-4,0.007309,-1.0,0.01665,1.693,1.611,1.684,1.475
0.017268,0.074,8.9,1.9024025202,2.5641479492,1.902,1.259,3.9103,4.051,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7178,0.2656,0.002943,8.046E-4,0.007312,-1.0,0.01666,1.623,1.542,1.613,1.411
0.017268,0.074,8.9,1.927541256,2.5653288364,1.927,1.288,3.9118,4.034,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7177,0.2656,0.002944,8.047E-4,0.007312,-1.0,0.01662,1.55,1.471,1.54,1.345
0.017268,0.074,8.9,1.9359411001,2.5657155514,1.935,1.298,3.9123,4.028,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7177,0.2657,0.002944,8.047E-4,0.007313,-1.0,0.01661,1.526,1.447,1.515,1.322
0.017268,0.074,8.9,1.9778184891,2.5675876141,1.978,1.347,3.9134,3.993,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7176,0.2657,0.002945,8.049E-4,0.007315,-1.0,0.01663,1.404,1.326,1.391,1.205
0.017268,0.074,8.9,1.9839810133,2.5678553581,1.984,1.354,3.9135,3.988,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7176,0.2658,0.002945,8.05E-4,0.007315,-1.0,0.01663,1.386,1.308,1.373,1.187
