source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob
2941934335839359744,93.88084608196306,-18.71566624125783,-0.6110786436854948,0.0134959705,1.9908728032242633,0.017626325,1.7435694,11.250575,0.24814997836918903,0.016505811,92.936386,0.21779653,226.05921781669997,-16.132816549873777,1.1498908,404,46,47,0,0,1.0
2941934335839360384,93.8788363487262,-18.716626517833063,-0.6384546200646266,0.05734208,2.000996915356745,0.07512458,0.7365551,17.169703,0.20832188369794316,0.073141985,,,226.05933372317537,-16.134945607822306,0.97176594,374,20,20,0,0,1.0
2941934335839363328,93.87735719467064,-18.72417560880253,-0.5468539004507865,0.032602567,1.9010574144432326,0.039729223,0.5692234,15.7841835,0.1896618502797389,0.037042383,,,226.06593756368656,-16.13927105204091,1.00096,321,41,40,0,0,1.0
2941934370199092864,93.89079221943128,-18.703137880397584,-0.5629326325107566,0.011422615,1.9565933936319664,0.015573026,1.1600533,13.571303,0.20920217231777558,0.013949768,93.37526,3.1378632,226.05123771432434,-16.119144040550673,1.0471536,389,33,27,0,0,1.0
2941934370199096192,93.88283149783685,-18.707985764688246,-0.5649234385660081,0.029855955,1.9654706275370515,0.04125797,0.5502367,15.846712,0.19733775482480748,0.03823686,,,226.0526905692532,-16.12799892878285,1.0310056,379,41,40,0,0,1.0
2941934404558846336,93.84610739174055,-18.730795832855577,-0.5817703571861607,0.01126448,1.9397546143583353,0.013870699,1.258338,13.469462,0.20194908535747144,0.0134646185,95.18011,3.9986193,226.0598259816421,-16.169024211020197,1.0056973,391,45,43,0,0,1.0
2941934507638059392,93.8388932339737,-18.714002266279646,-0.5302229790215092,0.04072428,1.9038870527911642,0.0484681,0.5881567,16.307775,0.1974355877079839,0.04502295,,,226.04095669566942,-16.168508953631004,1.0533738,413,43,42,0,0,1.0
2941934541997789824,93.87472483395173,-18.710430165481252,-0.5096427884877948,0.035681516,1.9841729885619686,0.04769169,0.5727892,16.176332,0.20529890727806194,0.042848837,,,226.05179635217002,-16.136011010682676,1.0223294,386,44,44,0,0,1.0
2941934541997794176,93.86571139245042,-18.71671220178757,-0.5890168516765988,0.025250241,1.8893981533119615,0.035567697,0.6171608,15.408747,0.1587895082113781,0.031861704,,,226.0541982183004,-16.146356068611766,1.0522382,366,41,40,0,0,1.0
2941934576357523200,93.87808214099574,-18.693466229696025,-0.6175919712310586,0.028026521,1.9302264923710855,0.035737585,0.5764704,15.6840725,0.1698234897316945,0.03455448,,,226.03697121693872,-16.12626067627157,0.99884,417,47,42,0,0,1.0
2941934576357525632,93.87863315007334,-18.701520667217284,-0.6170101402867679,0.025394535,1.9209462177773442,0.0357326,0.5739479,15.561914,0.2665376546234513,0.032808736,,,226.04486278974215,-16.129031016583284,1.07701,405,43,41,0,0,1.0
2941934576357526784,93.87113793500662,-18.700318427563907,-0.5330741825963918,0.047667544,1.9016849235627091,0.06276619,0.6740856,16.846806,0.17706602744484454,0.06000201,,,226.04073748983166,-16.135043012423193,1.0011197,424,47,42,0,0,1.0
2941934984375986688,93.9445031082637,-18.72740829776078,-0.5985776558831418,0.065417506,1.911824472557655,0.087369666,0.711853,17.517748,0.24593993292976954,0.08237572,,,226.09570762627166,-16.082382292320005,0.9898492,420,44,41,0,0,1.0
2941934988674649728,93.93903594467973,-18.72640977149774,-0.5750229710571961,0.010358373,1.9042581436465251,0.01401401,1.197381,13.440134,0.19900344085319538,0.012248723,92.04063,1.549828,226.09258323552316,-16.086717432160516,1.028138,445,49,48,0,0,1.0
2941935023034388608,93.92965480205909,-18.719078502319505,-0.5599953858622367,0.022170873,1.9143882416291802,0.03074242,0.61217594,15.414809,0.18657153377031832,0.02756454,,,226.08187167834558,-16.091890496359845,1.001524,437,44,46,0,0,1.0
2941935057394122880,93.92829980270118,-18.70837826277317,-0.551184315469213,0.032596067,2.047888576676436,0.042158093,0.62671566,16.052254,0.18770960980642273,0.03798729,,,226.07114252562224,-16.088748874410275,0.9790329,402,41,39,0,0,1.0
2941935297912275840,93.98789361177981,-18.70562583471181,-0.6181284089459909,0.028388813,1.9489983220501068,0.03489286,0.5618839,15.939113,0.15354032982297058,0.032387786,,,226.09222151096654,-16.035991267297998,1.0166979,471,53,52,0,0,1.0
2941935435351219456,94.00573457943666,-18.679770554250446,-0.631977272208635,0.030875357,1.9727986610960044,0.036357023,0.5803795,16.002666,0.21400195833466795,0.034710303,,,226.07470792899733,-16.01009252248906,0.98526996,442,46,45,0,0,1.0
2941935504070704256,93.97516023069572,-18.686181194930818,-0.6405227645602037,0.033975635,1.9417497674470596,0.04258808,0.5842724,16.254354,0.17977153373570665,0.04005636,,,226.06864532407693,-16.039178804437263,0.98092574,433,44,46,0,0,1.0
2941935641509646336,93.99643704753403,-18.664763824186842,-0.48944739451698094,0.04840109,1.9745525639682704,0.057305306,0.832016,16.79916,0.2567959943342887,0.055871457,,,226.05672480129354,-16.01209152444819,1.0260836,420,47,40,0,0,1.0
2941935641509650944,93.9923719980352,-18.674012977561365,-0.5677451842383704,0.013023189,1.9616682538882237,0.015605603,1.5708799,11.786117,0.2462081543414569,0.013653064,92.89318,1.2045898,226.06391050829984,-16.01934923141089,1.1306834,402,47,46,0,0,1.0
2941935675869380096,94.00782067434665,-18.660645268378744,-0.5822424403744583,0.050556973,2.017723745466805,0.05908274,0.70209694,16.816338,0.13661467001962802,0.056919117,,,226.057335797035,-16.000561774761053,1.0255276,435,45,45,0,0,1.0
2941935705930621696,93.98737895342438,-18.65610660821726,-0.487491948469899,0.06030834,1.9715925047588165,0.071782544,0.73503685,17.209858,0.27621686667869444,0.068650566,,,226.04487978213544,-16.016447050319364,1.0312415,404,42,41,0,0,1.0
2941935740290360576,93.99557845483132,-18.656025863135742,-0.5731578458399699,0.037222765,1.9480135027491305,0.042777307,0.59123516,16.22127,0.24846231650205824,0.040636558,,,226.04806657950803,-16.009307316201596,1.0253662,436,40,42,0,0,1.0
2941935744588857728,93.99210311316034,-18.649925607312817,-0.6075786715102764,0.035972994,2.0419789482300716,0.042380903,0.5887375,16.253931,0.16947829387720353,0.041444723,,,226.0408773004229,-16.009856247656305,1.0070198,429,42,43,0,0,1.0
2941935778948361856,93.9059414795452,-18.70670157666656,-0.6405780253557397,0.0345326,1.9616162694471593,0.04553161,0.57155323,16.21166,0.19962375246653674,0.044145897,,,226.0606555382129,-16.107450723726302,1.0190225,409,47,46,0,0,1.0
2941935813308091136,93.92256139856278,-18.697621152813554,-0.5422239807970353,0.027334983,1.9332865637099659,0.035048664,0.5466547,15.728178,0.2441083607364346,0.03187465,,,226.05861626537472,-16.089383155505146,0.94728,424,46,45,0,0,1.0
2941935813308363136,93.93299217733026,-18.701467060637526,-0.5759693877276848,0.03437567,2.012177952134159,0.04642703,0.67699337,16.183268,0.22642573998848126,0.03944809,,,226.06642687832294,-16.081894067363315,0.9691141,418,47,43,0,0,1.0
2941935813308367872,93.91952305598485,-18.702541047505434,-0.5917636283805564,0.03397454,1.9309034334085362,0.046121817,0.5640497,16.13841,0.1653808556922935,0.03888138,,,226.06209344835366,-16.09400116769575,1.0107356,408,48,46,0,0,1.0
2941935847667836160,93.90576204576467,-18.700546629084993,-0.6199406687244093,0.03534496,1.9008103421555604,0.045474544,0.5906935,16.233854,0.14603107108483757,0.043579523,,,226.05472194035247,-16.105123853631557,0.96713567,401,43,43,0,0,1.0
2941935847667837312,93.8990012005517,-18.69711662967593,-0.6046625059271762,0.042006377,1.9349325372514652,0.05509314,0.62158203,16.569033,0.2767183475118399,0.051619764,,,226.04876662319538,-16.109600459931347,0.9970038,396,40,40,0,0,1.0
2941935847667837696,93.89743632998852,-18.696907840681373,-0.6051844782263724,0.012270057,1.855627092758581,0.016184712,0.6584749,13.796251,0.1941754335963788,0.015265698,148.00616,11.946437,226.04794548811222,-16.110872632874692,1.0355986,399,43,42,0,0,1.0
2941935847667840128,93.90074098645364,-18.70541108520947,-0.5084129427409841,0.034557678,2.014457142856988,0.04608528,0.5167799,16.213173,0.24385777960403018,0.045159437,,,226.05735863373408,-16.111437702801865,0.94682485,400,46,44,0,0,1.0
2941935847667841408,93.893775402696,-18.70365083992129,-0.498866770443715,0.025627231,2.01371648106653,0.03416886,0.5384464,15.578669,0.25881222781494284,0.032587774,,,226.05291244672117,-16.116765210721006,0.94463366,403,38,36,0,0,1.0
2941935882027565568,93.91793987364545,-18.68872632563265,-0.5831282681026556,0.033975504,1.9132656530273446,0.044002764,0.57702446,16.129904,0.1695573230524683,0.040419456,,,226.04830750696502,-16.089800614635042,1.0435324,427,47,45,0,0,1.0
2941935882027571712,93.91171162826753,-18.697660193614112,-0.5987052122678842,0.020710444,1.9753609155828873,0.027820166,0.64633656,15.120534,0.22802041551573454,0.02571939,,,226.05433874744597,-16.098802838783303,0.9819127,384,40,40,0,0,1.0
2941935916383740032,93.92470510030688,-18.69246936660437,-0.5428672243897701,0.047694217,1.9710520624113577,0.061194643,0.70446014,16.787746,0.2197174821286074,0.057751168,,,226.05456271761685,-16.085446828852834,0.99763006,393,41,42,0,0,1.0
2941935916387298560,93.93436856725519,-18.684720191072284,-0.6261834232080478,0.031381536,1.9214403405656777,0.040154655,0.57672024,16.007061,0.24795339948728934,0.037983406,,,226.05102716893867,-16.07394450772924,0.9809341,430,49,46,0,0,1.0
2941935916387573888,93.93229073929598,-18.69020518113044,-0.6402607484639845,0.046265144,1.9269763153783463,0.06125609,0.7503052,16.689024,0.19936900618930592,0.053384643,,,226.0554236433004,-16.077958535965244,1.0563251,418,44,42,0,0,1.0
2941935916387577472,93.9273112582172,-18.693874247998107,-0.5734328022171821,0.03935056,1.839204811419401,0.051960614,0.60926247,16.398046,0.21334545035319374,0.04529097,,,226.0569370825969,-16.083754728503408,1.0176128,415,43,43,0,0,1.0
2941935950747308160,93.94735504580856,-18.688139754436726,-0.5902493628592687,0.053924114,1.9664579583321535,0.067201205,0.6911068,17.03512,0.16507971609599909,0.06264592,,,226.05944893865023,-16.064068360643414,1.0376769,416,44,39,0,0,1.0
2941935985106777856,93.92673280334485,-18.68563600185158,-0.6267424458943786,0.06287399,2.0471803439347487,0.082702525,0.8148689,17.3217,0.27954036089915313,0.07970033,,,226.0488619671113,-16.08093241800717,0.9401419,383,42,42,0,0,1.0
2941935985106779264,93.92073628096064,-18.68551790401919,-0.6347573281873198,0.019549927,1.9005871893281732,0.02549265,0.67913723,14.929236,0.19890700778943698,0.023112932,,,226.04636435524722,-16.086082387182582,1.0244321,418,44,41,0,0,1.0
2941936019466506368,93.93777873285919,-18.6695274886862,-0.6523901619517172,0.024824118,1.895868117161217,0.029566452,0.63809204,15.350721,0.133844775055724,0.029207092,,,226.0379177668065,-16.064857929127832,1.0825907,396,42,40,0,0,1.0
2941936049527933312,93.89520979374888,-18.692751550429357,-0.5486602164894506,0.0678506,2.0373438152801087,0.09057777,0.81513023,17.44719,0.19103843729951597,0.09412317,,,226.04310136106426,-16.111126226267764,1.0108122,376,37,36,0,0,1.0
2941936053826269440,93.88758649796625,-18.692478995770056,-0.5119501358074924,0.026361959,1.9784054286957031,0.035514675,0.5664463,15.607751,0.17930126377757413,0.033531107,,,226.03981024152176,-16.1176241236973,0.97100145,401,45,45,0,0,1.0
2941936088185995392,93.90419696456541,-18.676399093795386,-0.5759051998712562,0.024267545,1.9879248288283402,0.02956659,0.5677681,15.357187,0.20760064900803563,0.027243953,,,226.0311015836151,-16.09673987570584,0.9699338,429,46,46,0,0,1.0
2941936088186000768,93.89957586084323,-18.686066016278915,-0.5550644615051072,0.010420072,1.9269577497033477,0.013930927,1.2811174,13.377363,0.2338378906792689,0.012639041,94.1913,1.3737355,226.03847015292902,-16.104645140371673,0.9930099,415,45,44,0,0,1.0
2941936122545741952,93.8859577255206,-18.681379534719515,-0.5807948932964077,0.025359742,1.968582245658322,0.033083845,0.5796995,15.573192,0.14770272925245814,0.030759525,,,226.0285903765604,-16.114559307573703,0.9781408,443,49,48,0,0,1.0
2941936122545742208,93.8781194077849,-18.675775650957547,-0.6281454809455141,0.031956997,2.026060112453673,0.042899895,0.57722855,16.048893,0.2434609504547688,0.041107334,,,226.02013523260004,-16.119093698129753,1.03585,408,43,44,0,0,1.0
2941936122545743232,93.87936448368643,-18.679032299636123,-0.5667907975020171,0.03279467,2.028959794920616,0.042601764,0.6485405,16.01351,0.247538714835931,0.03900991,,,226.02373239075902,-16.119327913324092,1.0343491,427,43,39,0,0,1.0
