source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob,rradec
865399905435253504,114.59384129660265,21.53577470042644,-1.220596785166213,0.040337335,-1.9695573379063407,0.0328291,0.6481304,14.879247,0.47321630894773586,0.037323695,,,198.14326639499248,19.618056691021916,1.4786485,213,24,24,0,0,1.0,0.04112868567516767
865399905435258240,114.58752112039993,21.524597431496304,-1.3023317777624719,0.10554924,-1.9528630100585866,0.088649355,1.1507854,17.343487,0.45875211220028306,0.09727434,,,198.15187260957416,19.608372963678242,1.13017,212,24,23,0,0,1.0,0.05372276216475103
865399935498079616,114.60028470249567,21.53744728117804,-1.247482696160915,0.016390145,-2.0368836192213418,0.01325455,1.1575546,12.291597,0.44948410687305895,0.015964957,75.06638,1.0900275,198.14403998242943,19.624236430915808,1.085075,211,24,25,0,0,1.0,0.038111306572602796
865399935500538880,114.59938330562152,21.53706847304531,-1.157752395835506,0.021659147,-2.223446105525724,0.017854284,0.6240473,13.725374,0.36892855111926853,0.021616055,70.70181,11.158096,198.14407401328825,19.623316928818113,1.1813068,191,10,11,0,0,1.0,0.038621333811788984
865399939794984320,114.60077369674603,21.54832846015419,-1.3099363861942388,0.018511264,-1.9861159298431663,0.014833992,1.3831987,11.135303,0.3989475684326684,0.017498802,73.07285,0.47223505,198.13353609013384,19.62878866636824,0.9605829,231,23,24,0,0,1.0,0.027287978228998644
865399939794985984,114.59698552228026,21.54913728180793,-1.293764958492786,0.022117686,-2.0746193602389136,0.018270973,1.047225,14.169439,0.3676999522554727,0.020966476,70.19004,10.040516,198.1313214437398,19.625836161719384,1.0041715,213,27,26,0,0,1.0,0.027436918659974985
865399939794987136,114.60366884996084,21.53952430275691,-1.1891362275620154,0.042116202,-2.024736149259836,0.034644,0.6583128,15.659272,0.4298405931184172,0.04116305,,,198.14326897769587,19.627937175116667,1.0322448,194,21,20,0,0,1.0,0.035713762475903334
865399939794989568,114.59873269328224,21.536810282065517,-1.1315244243097742,0.037155803,-2.230625992686201,0.030984381,0.9520664,14.414608,0.31462648358190654,0.03652972,59.25856,10.247203,198.1440836178287,19.622659028827556,1.8899505,206,11,11,0,0,1.0,0.03898556340119529
865399939794989952,114.59360439901494,21.541322460459366,-1.2370789178687676,0.040680967,-2.118553392418888,0.034851644,0.75415325,15.667797,0.32602306633311817,0.03677471,,,198.13772905446936,19.61995953924164,1.0054867,227,23,21,0,0,1.0,0.03592618286870685
865399939794990336,114.59672848042898,21.537635019612555,-1.2223121080375456,0.0309627,-2.0694385904791286,0.026427057,0.58879757,14.881271,0.46738171492864783,0.027894657,,,198.14252205159076,19.621247568207703,1.0987525,224,20,21,0,0,1.0,0.03858513705780924
865399969857816832,114.57391130720819,21.545629399816985,-1.167158422276134,0.027834255,-2.0978459169593844,0.021227567,0.5897436,14.665811,0.4140907358258276,0.02459391,,,198.1261149462525,19.604649960247123,1.0313687,219,24,23,0,0,1.0,0.04333543958222524
865399969857818240,114.57594907226522,21.535038375140054,-1.217158636828913,0.016799051,-1.9582013005574679,0.013623557,1.1617994,12.378798,0.42565164130365435,0.015580011,74.03866,1.0597609,198.13727938183266,19.602380882979464,1.1928961,234,27,25,0,0,1.0,0.0499117423143059
865399974153736448,114.58185995323738,21.546868881040762,-1.1828156744479577,0.18573345,-0.5535537813500543,0.16050802,1.1048927,18.43524,0.38089398063375945,0.17014782,,,198.1278782114331,19.611960011515436,1.0460259,221,23,20,0,0,1.0,0.0369538924626576
865399974154731776,114.57432656522003,21.549578208375678,-1.2668907711008597,0.05288521,-1.8887830532012415,0.04541782,0.7332802,16.317436,0.3373900491231378,0.05164687,,,198.1223928645299,19.606506886618256,0.99981254,224,24,24,0,0,1.0,0.040422534026712614
865399974154732672,114.57852997104975,21.54196124491146,-1.135828093536692,0.08176119,-1.9781827552938926,0.06997448,0.90351677,17.122795,0.3580495772816707,0.0785068,,,198.13144905652655,19.60723099726625,0.9922381,227,25,24,0,0,1.0,0.042858266899523316
865399974154734080,114.57123803180755,21.543382164021754,-1.0780349186389866,0.033462506,-1.779882540313307,0.025282342,0.58875847,14.885007,0.39208414772565064,0.030218478,,,198.12731926055537,19.601496289785697,1.1040467,214,23,21,0,0,1.0,0.046823497147223184
865399974154735104,114.574659198989,21.53611889561787,-1.0994868533218114,0.06252115,-2.037984465795257,0.054189757,0.77890205,16.551186,0.3468956598936122,0.057866868,,,198.13573458447775,19.60168138317697,1.0538294,219,25,25,0,0,1.0,0.049837276589208425
865400004217553536,114.58691496696929,21.553316889410652,-1.2224610853438258,0.029251793,-2.0217285639800258,0.024016194,0.5878706,14.639417,0.4081671783812517,0.024920573,,,198.12344090349572,19.618757924203234,0.97630453,200,20,20,0,0,1.0,0.028766296970632006
865400008514462848,114.59055643239526,21.55476324523667,-1.2235893930735309,0.026566664,-2.1283897955435416,0.020746538,0.6028271,14.47428,0.3740842163163025,0.022181943,67.25922,17.84445,198.12338552911052,19.6224402869678,0.943116,217,25,24,0,0,1.0,0.02536701473944492
