  ID     REF  V        B-V
   0523    88  19.415   1.152
   0524    88  20.293   1.381
   0525    88  20.928   0.830
   0526    88  20.033   1.148
   0527    88  20.614   1.062
   0528    88  15.898   1.052
   0529    88  19.776   0.787
   0530    88  20.920   2.367
   0531    88  19.487   0.936
   0532    88  19.198   1.207
   0533    88  19.187   0.932
   0534    88  15.709   0.878
   0535    88  19.339   0.790
   0536    88  20.981   0.877
   0537    88  19.888   1.030
   0538    88  20.004   0.826
   0539    88  21.890   1.377
   0540    88  21.218   2.438
   0541    88  21.412   1.511
   0542    88  20.843   0.663
   0543    88  19.623   0.952
   0544    88  18.094   0.951
   0545    88  18.681   0.761
   0546    88  21.752   1.112
   0547    88  19.080   0.788
   0548    88  15.846   0.923
   0549    88  19.724   0.885
   0550    88  19.517   0.861
   0551    88  19.851   1.420
   0552    88  17.474   1.275
   0553    88  19.489   1.339
   0554    88  19.255   1.313
   0555    88  19.839   1.018
   0556    88  19.023   0.991
   0557    88  13.869   1.378
   0558    88  19.348   0.962
   0559    88  17.443   1.189
   0560    88  18.678   1.103
   0561    88  18.769   1.629
   0562    88  15.100   1.034
   0563    88  18.351   0.869
   0564    88  19.951   1.181
   0565    88  18.323   0.891
   0566    88  19.204   0.844
   0567    88  19.213   0.844
   0568    88  16.141   1.086
   0569    88  18.528   0.922
   0570    88  18.385   1.319
   0571    88  16.055   1.371
   0572    88  16.610   1.245
   0573    88  19.891   1.042
   0574    88  19.570   0.777
   0575    88  18.820   2.154
   0576    88  20.041   1.008
   0577    88  19.746   1.221
   0578    88  20.326   1.127
   0579    88  17.780   0.607
   0580    88  19.956   1.348
   0581    88  18.005   0.924
   0582    88  18.832   0.925
   0583    88  19.460   0.881
   0584    88  19.937   1.164
   0585    88  16.025   1.233
   0586    88  19.645   0.827
   0587    88  17.982   0.948
   0588    88  15.225   1.215
   0589    88  20.454   0.666
   0590    88  20.658   1.899
   0591    88  18.426   0.945
   0592    88  20.804   1.927
   0593    88  19.347   0.723
   0594    88  19.491   0.721
   0595    88  16.729   0.572
   0596    88  20.217   0.958
   0597    88  19.895   0.944
   0598    88  17.815   0.836
   0599    88  19.593   0.913
   0600    88  19.117   0.758
   0601    88  19.252   0.791
   0602    88  19.259   0.840
   0603    88  19.682   1.479
   0604    88  18.684   0.935
   0605    88  18.991   0.774
   0606    88  18.099   1.003
   0607    88  20.663   1.641
   0608    88  20.007   0.676
   0609    88  19.989   1.092
   0610    88  19.129   0.989
   0611    88  19.123   1.070
   0612    88  18.477   0.878
   0613    88  21.141   1.016
   0614    88  18.055   0.886
   0615    88  19.275   0.852
   0616    88  20.396   0.806
   0617    88  18.719   0.906
   0618    88  18.460   0.924
   0619    88  19.854   1.074
   0620    88  19.969   0.694
   0621    88  19.746   0.949
   0622    88  19.264   0.910
   0623    88  20.633   1.928
   0624    88  20.001   1.291
   0625    88  20.819   1.130
   0626    88  17.930   0.662
   0627    88  18.657   1.046
   0628    88  17.497   1.257
   0629    88  19.283   0.845
   0630    88  19.292   0.790
   0631    88  18.987   1.183
   0632    88  17.901   0.974
   0633    88  20.753   0.971
   0634    88  19.177   1.030
   0635    88  20.075   0.994
   0636    88  16.604   0.980
   0636    96  16.600   1.080
   0637    88  20.490   0.631
   0638    88  19.371   1.261
   0639    88  18.494   0.921
   0640    88  18.956   0.790
   0641    88  19.065   0.866
   0642    88  16.380   1.207
   0642    96  16.440   1.400
   0643    88  20.399   0.808
   0643    96  20.530   0.970
   0644    88  20.039   0.960
   0645    88  17.988   1.278
   0646    88  19.514   0.936
   0647    88  19.273   0.861
   0648    88  18.974   0.910
   0649    88  21.197   2.591
   0650    88  20.226   1.363
   0651    88  19.843   1.002
   0652    88  19.257   0.797
   0653    88  17.297   0.756
   0654    88  19.377   0.820
   0655    88  19.929   0.903
   0656    88  19.652   1.119
   0657    88  18.670   1.320
   0658    88  21.039   1.688
   0659    88  20.527   0.799
   0660    88  18.561   0.859
   0660    96  18.550   0.880
   0661    88  18.743   0.827
   0661    96  18.770   0.840
   0662    88  19.119   1.264
   0663    88  19.972   1.041
   0664    88  19.258   0.969
   0664    96  19.270   0.950
   0665    88  18.117   0.900
   0666    88  19.230   0.953
   0667    88  12.434   1.189
   0668    88  20.336   1.295
   0669    88  19.146   1.119
   0669    96  19.070   1.150
   0670    88  21.046   0.767
   0671    88  15.526   0.923
   0671    96  15.530   1.070
   0672    88  19.232   0.927
   0673    88  20.346   0.988
   0674    88  19.294   1.036
   0674    96  19.280   1.120
   0675    88  18.786   0.816
   0675    96  18.790   0.820
   0676    88  19.519   0.846
   0677    88  16.760   0.225
   0677    96  16.740   0.260
   0678    88  19.393   0.751
   0678    96  18.960   1.340
   0679    88  19.272   0.857
   0679    96  19.280   0.870
   0680    88  19.165   0.959
   0681    88  19.761   0.762
   0681    96  19.790   0.890
   0682    88  18.601   0.807
   0682    96  18.650   0.810
   0683    88  20.054   1.365
   0684    88  18.810   0.959
   0685    88  16.488   0.939
   0686    88  16.608   0.923
   0687    88  16.717   1.116
   0688    88  17.760   0.972
   0688    96  17.760   0.900
   0689    88  18.397   0.948
   0690    88  20.009   1.191
   0691    88  19.863   0.899
   0692    88  18.232   0.888
   0693    88  19.233   0.816
   0694    88  19.075   0.726
   0694    96  19.120   0.840
   0695    88  20.125   2.119
   0696    88  18.338   0.875
   0696    96  18.450   1.020
   0697    88  19.067   0.915
   0697    96  18.900   0.790
   0698    88  19.676   1.291
   0698    96  19.270   0.850
   0699    88  17.996   1.062
   0699    96  17.880   1.250
   0700    88  16.553   1.158
   0701    88  18.696   1.044
   0701    96  18.740   1.190
   0702    88  19.563   0.788
   0703    88  17.377   1.021
   0703    96  17.390   1.080
   0704    88  18.397   0.994
   0704    96  18.220   0.930
   0705    88  19.818   1.284
   0706    88  16.831   1.122
   0707    88  20.925   0.940
   0708    88  18.246   0.930
   0708    96  18.250   1.010
   0709    88  19.212   0.893
   0709    96  19.200   0.770
   0710    88  18.884   0.995
   0711    88  19.995   0.896
   0711    96  19.980   0.910
   0712    88  20.257   0.806
   0712    96  20.200   0.940
   0713    88  19.504   1.380
   0714    88  19.170   0.816
   0714    96  19.240   0.850
   0715    88  20.277   0.944
   0715    96  20.300   1.110
   0716    88  20.478   1.409
   0717    88  19.988   0.972
   0718    88  19.199   0.891
   0719    88  21.264   1.274
   0719    96  21.140   1.180
   0720    88  18.512   0.839
   0720    96  18.530   0.840
   0721    88  19.108   0.843
   0722    88  19.398   0.818
   0722    96  19.350   0.780
   0723    88  20.459   1.198
   0723    96  20.440   1.200
   0724    88  20.396   1.618
   0725    88  18.931   0.954
   0726    88  19.731   0.785
   0727    88  15.417   1.203
   0728    88  17.397   0.948
   0729    88  19.174   0.991
   0730    88  19.494   0.659
   0731    88  20.493   0.848
   0732    88  19.821   0.880
   0732    96  19.790   0.890
   0733    88  20.362   1.398
   0733    96  20.470   1.320
   0734    88  18.438   0.790
   0734    96  18.490   0.840
   0735    88  19.097   0.936
   0735    96  19.020   0.840
   0736    88  19.147   0.686
   0736    96  19.170   0.740
   0737    88  21.076   1.218
   0738    88  20.309   0.801
   0739    88  19.205   0.815
   0739    96  19.210   0.860
   0740    88  18.497   0.902
   0740    96  18.450   1.020
   0741    88  18.251   0.741
   0741    96  18.340   0.800
   0742    88  19.267   0.923
   0743    88  19.381   1.113
   0744    88  18.569   0.739
   0745    88  19.662   0.834
   0745    96  19.830   0.610
   0746    88  18.911   0.898
   0746    96  18.790   0.900
   0747    88  19.694   1.283
   0748    88  18.580   0.857
   0748    96  18.580   0.870
   0749    88  19.225   0.746
   0749    96  19.270   0.750
   0750    88  19.755   0.643
   0750    96  19.830   0.800
   0751    88  18.988   0.989
   0752    88  19.244   0.796
   0752    96  19.290   0.820
   0753    88  15.671   1.273
   0754    88  19.763   0.847
   0755    88  18.528   0.830
   0755    96  18.510   0.890
   0756    88  18.887   1.048
   0757    88  17.495   1.221
   0757    96  17.450   1.380
   0758    88  18.692   1.043
   0759    88  19.824   0.671
   0760    88  16.203   0.878
   0761    88  20.382   1.438
   0762    88  20.121   1.757
   0762    96  19.590   1.170
   0763    88  19.782   0.856
   0764    88  20.028   0.873
   0764    96  20.100   0.910
   0765    88  19.435   1.116
   0766    88  18.881   1.213
   0767    88  19.398   0.807
   0767    96  19.500   0.870
   0768    88  18.415   0.972
   0768    96  18.410   0.880
   0769    88  19.616   1.566
   0770    88  19.054   0.851
   0770    96  19.140   0.870
   0771    88  19.459   0.846
   0772    88  18.890   0.787
   0772    96  18.960   0.840
   0773    88  19.775   0.952
   0774    88  18.441   0.921
   0775    88  18.237   0.741
   0776    88  18.511   0.930
   0776    96  18.490   0.950
   0777    88  18.375   0.770
   0777    96  18.400   0.890
   0778    88  18.224   0.812
   0778    96  18.270   0.810
   0779    88  19.364   1.297
   0780    88  19.797   0.608
   0780    96  19.540   0.840
   0781    88  18.707   0.859
   0781    96  18.600   0.840
   0782    88  18.927   0.771
   0783    88  18.351   1.282
   0784    88  16.268   0.999
   0785    88  18.119   1.224
   0785    96  18.180   1.340
   0786    88  18.618   0.893
   0786    96  18.530   0.800
   0787    88  17.442   1.294
   0787    96  17.450   1.410
   0788    88  18.870   0.799
   0788    96  18.870   0.820
   0789    88  19.355   0.846
   0790    88  19.935   0.697
   0790    96  19.900   0.900
   0791    88  20.791   1.321
   0791    96  20.560   0.970
   0792    88  18.394   1.057
   0792    96  18.370   1.130
   0793    88  17.630   0.968
   0794    88  19.090   0.952
   0794    96  19.140   0.980
   0795    88  19.474   0.981
   0795    96  19.540   1.090
   0796    88  16.448   0.937
   0796    96  16.430   1.080
   0797    88  15.631   1.238
   0798    88  20.103   0.781
   0798    96  20.190   0.930
   0799    88  21.147   0.915
   0800    88  18.099   1.114
   0800    96  18.100   1.220
   0801    88  18.700   0.966
   0802    88  19.527   1.413
   0803    88  18.550   0.940
   0804    88  18.563   1.077
   0805    88  17.638   1.064
   0806    88  18.633   1.221
   0807    88  18.495   0.800
   0807    96  18.520   0.990
   0808    88  17.908   0.886
   0809    88  18.993   1.012
   0810    88  20.774   1.480
   0811    88  18.231   0.840
   0812    88  19.793   1.248
   0813    88  14.968   0.852
   0813    96  14.960   0.920
   0814    88  19.246   0.776
   0814    96  19.310   0.790
   0815    88  19.401   1.017
   0816    88  18.345   1.331
   0816    96  18.190   1.310
   0817    88  18.496   1.244
   0818    88  20.534   1.048
   0819    88  19.409   0.388
   0820    88  16.695   0.874
